iter	Passed	Remaining
0	0	76
1	1	68
2	1	62
3	2	55
4	2	52
5	3	51
6	3	49
7	4	48
8	4	48
9	5	47
10	6	55
11	7	53
12	7	52
13	8	51
14	9	56
15	11	62
16	12	61
17	13	60
18	13	58
19	14	57
20	14	55
21	15	54
22	15	52
23	16	51
24	16	50
25	17	49
26	17	47
27	18	46
28	20	50
29	21	49
30	21	48
31	22	47
32	22	46
33	23	44
34	32	60
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	60	21
74	61	20
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	82	1
98	84	0
99	84	0
