iter	Passed	Remaining
0	1	1370
1	1	885
2	2	717
3	2	640
4	2	590
5	3	550
6	4	583
7	4	558
8	4	542
9	5	525
10	5	513
11	6	502
12	6	494
13	6	485
14	7	477
15	7	468
16	7	461
17	8	458
18	8	454
19	9	450
20	9	445
21	9	441
22	10	438
23	10	434
24	11	431
25	11	429
26	11	424
27	12	421
28	12	418
29	12	417
30	13	414
31	13	411
32	13	409
33	14	406
34	14	405
35	15	403
36	15	401
37	15	400
38	16	399
39	16	397
40	16	396
41	17	395
42	17	394
43	18	392
44	18	391
45	18	390
46	19	393
47	19	392
48	20	391
49	20	390
50	20	389
51	21	388
52	21	387
53	22	386
54	22	384
55	22	383
56	23	382
57	23	381
58	23	381
59	24	380
60	24	379
61	24	378
62	25	376
63	25	375
64	26	374
65	26	374
66	26	373
67	27	372
68	27	371
69	27	371
70	28	370
71	28	369
72	29	368
73	29	367
74	29	367
75	30	366
76	30	365
77	30	364
78	31	364
79	31	363
80	31	362
81	32	361
82	32	358
83	32	358
84	33	357
85	33	356
86	33	356
87	34	355
88	34	356
89	35	357
90	35	357
91	36	357
92	36	356
93	36	355
94	37	354
95	37	354
96	37	353
97	38	352
98	38	351
99	39	351
100	39	350
101	39	349
102	40	349
103	40	348
104	40	347
105	41	347
106	41	346
107	41	346
108	42	345
109	42	344
110	42	344
111	43	343
112	43	342
113	44	342
114	44	341
115	44	341
116	45	339
117	45	339
118	45	339
119	46	338
120	46	338
121	46	337
122	47	336
123	47	336
124	47	335
125	48	335
126	48	334
127	49	333
128	49	333
129	49	332
130	50	332
131	50	333
132	51	332
133	51	332
134	51	332
135	52	331
136	52	331
137	53	331
138	53	330
139	53	330
140	54	329
141	54	328
142	54	327
143	55	327
144	55	327
145	55	326
146	56	326
147	56	326
148	57	325
149	57	325
150	57	325
151	58	324
152	58	324
153	58	323
154	59	323
155	59	322
156	59	322
157	60	321
158	60	321
159	61	320
160	61	319
161	61	318
162	61	318
163	62	317
164	62	317
165	63	316
166	63	316
167	63	316
168	64	315
169	64	315
170	64	314
171	65	314
172	65	313
173	66	313
174	66	313
175	66	313
176	67	312
177	67	312
178	68	311
179	68	311
180	68	311
181	69	310
182	69	310
183	69	309
184	70	309
185	70	308
186	70	308
187	71	308
188	71	307
189	72	307
190	72	306
191	72	306
192	73	305
193	73	305
194	73	304
195	74	304
196	74	303
197	74	303
198	75	302
199	75	302
200	76	302
201	76	301
202	76	301
203	77	301
204	77	300
205	77	300
206	78	300
207	78	299
208	79	299
209	79	298
210	79	298
211	80	297
212	80	297
213	80	297
214	81	296
215	81	297
216	82	297
217	82	296
218	83	296
219	83	295
220	83	295
221	84	294
222	84	294
223	84	293
224	85	293
225	85	293
226	85	292
227	86	292
228	86	291
229	87	291
230	87	291
231	87	290
232	88	290
233	88	289
234	88	289
235	89	288
236	89	288
237	89	287
238	90	287
239	90	287
240	90	286
241	91	286
242	91	285
243	92	285
244	92	284
245	92	284
246	93	284
247	93	283
248	93	283
249	94	282
250	94	282
251	95	282
252	95	281
253	95	281
254	96	280
255	96	280
256	96	280
257	97	279
258	97	279
259	98	279
260	98	279
261	98	278
262	99	278
263	99	278
264	100	277
265	100	277
266	100	276
267	101	276
268	101	276
269	101	275
270	102	275
271	102	274
272	103	274
273	103	274
274	103	273
275	104	273
276	104	272
277	104	272
278	105	272
279	105	271
280	106	271
281	106	270
282	106	270
283	107	269
284	107	269
285	107	269
286	108	268
287	108	268
288	108	267
289	109	267
290	109	267
291	110	266
292	110	266
293	110	265
294	111	265
295	111	265
296	111	264
297	112	264
298	112	264
299	113	263
300	113	263
301	113	262
302	114	262
303	114	262
304	114	261
305	115	261
306	115	261
307	115	260
308	116	260
309	116	259
310	117	259
311	117	259
312	117	258
313	118	258
314	118	257
315	118	257
316	119	257
317	119	256
318	120	256
319	120	255
320	120	255
321	121	255
322	121	254
323	121	254
324	122	253
325	122	253
326	123	253
327	123	252
328	123	252
329	124	252
330	124	251
331	124	251
332	125	250
333	125	250
334	125	250
335	126	249
336	126	249
337	127	248
338	127	248
339	127	248
340	128	247
341	128	247
342	128	246
343	129	246
344	129	246
345	129	245
346	130	245
347	130	244
348	131	244
349	131	243
350	131	243
351	132	243
352	132	242
353	132	242
354	133	241
355	133	241
356	133	241
357	134	240
358	134	240
359	134	239
360	135	239
361	135	239
362	136	238
363	136	238
364	136	238
365	137	237
366	137	237
367	137	236
368	138	236
369	138	236
370	139	235
371	139	235
372	139	234
373	140	234
374	140	234
375	140	233
376	141	233
377	141	233
378	141	232
379	142	232
380	142	231
381	143	231
382	143	230
383	143	230
384	144	230
385	144	229
386	144	229
387	145	229
388	145	229
389	146	228
390	146	228
391	146	227
392	147	228
393	148	228
394	148	227
395	148	227
396	149	226
397	149	226
398	150	226
399	150	225
400	150	225
401	151	224
402	151	224
403	151	224
404	152	223
405	152	223
406	152	222
407	153	222
408	153	222
409	154	221
410	154	221
411	154	221
412	155	220
413	155	220
414	155	219
415	156	219
416	156	218
417	156	218
418	157	218
419	157	217
420	158	217
421	158	216
422	158	216
423	159	216
424	159	215
425	159	215
426	160	215
427	160	214
428	161	214
429	161	214
430	161	213
431	162	213
432	162	212
433	163	212
434	163	212
435	163	211
436	164	211
437	164	211
438	164	210
439	165	210
440	165	210
441	166	209
442	166	209
443	166	208
444	167	208
445	167	208
446	167	207
447	168	207
448	168	206
449	169	206
450	169	206
451	169	205
452	170	205
453	170	205
454	170	204
455	171	204
456	171	203
457	171	203
458	172	203
459	172	202
460	173	202
461	173	202
462	173	201
463	174	201
464	174	200
465	174	200
466	175	200
467	175	199
468	176	199
469	176	198
470	176	198
471	177	198
472	177	197
473	177	197
474	178	197
475	178	196
476	179	196
477	179	196
478	179	195
479	180	195
480	180	194
481	180	194
482	181	194
483	181	193
484	182	193
485	182	193
486	182	192
487	183	192
488	183	192
489	184	191
490	184	191
491	184	190
492	185	190
493	185	190
494	186	190
495	186	189
496	187	189
497	187	188
498	187	188
499	188	188
500	188	187
501	189	187
502	189	187
503	189	186
504	190	186
505	190	186
506	191	185
507	191	185
508	191	185
509	192	184
510	192	184
511	193	184
512	193	183
513	194	183
514	194	183
515	195	183
516	195	182
517	196	182
518	196	182
519	197	181
520	197	181
521	197	181
522	198	180
523	198	180
524	199	180
525	199	179
526	200	179
527	200	179
528	200	178
529	201	178
530	201	178
531	202	177
532	202	177
533	202	177
534	203	176
535	204	176
536	204	176
537	205	176
538	205	175
539	206	175
540	206	175
541	206	174
542	207	174
543	208	174
544	208	174
545	209	173
546	209	173
547	209	173
548	210	172
549	210	172
550	211	171
551	211	171
552	211	171
553	212	170
554	212	170
555	212	170
556	213	169
557	213	169
558	214	168
559	214	168
560	214	168
561	215	167
562	215	167
563	216	167
564	216	166
565	216	166
566	217	165
567	217	165
568	218	165
569	218	164
570	218	164
571	219	164
572	219	163
573	220	163
574	220	163
575	221	162
576	221	162
577	221	162
578	222	161
579	222	161
580	223	160
581	223	160
582	224	160
583	224	159
584	224	159
585	225	159
586	225	158
587	225	158
588	226	157
589	226	157
590	227	157
591	227	156
592	227	156
593	228	155
594	228	155
595	228	155
596	229	154
597	229	154
598	229	153
599	230	153
600	230	153
601	231	152
602	231	152
603	231	152
604	232	151
605	232	151
606	233	150
607	233	150
608	233	150
609	234	149
610	234	149
611	235	149
612	235	148
613	235	148
614	236	147
615	236	147
616	237	147
617	237	146
618	237	146
619	238	145
620	238	145
621	238	145
622	239	144
623	239	144
624	239	143
625	240	143
626	240	143
627	241	142
628	241	142
629	241	142
630	242	141
631	242	141
632	242	140
633	243	140
634	243	140
635	244	139
636	244	139
637	244	138
638	245	138
639	245	138
640	245	137
641	246	137
642	246	136
643	246	136
644	247	136
645	247	135
646	248	135
647	248	134
648	248	134
649	249	134
650	249	133
651	250	133
652	250	133
653	250	132
654	251	132
655	251	131
656	252	131
657	252	131
658	252	130
659	253	130
660	253	130
661	253	129
662	254	129
663	254	128
664	255	128
665	255	128
666	255	127
667	256	127
668	256	126
669	256	126
670	257	126
671	257	125
672	257	125
673	258	124
674	258	124
675	259	124
676	259	123
677	259	123
678	260	122
679	260	122
680	260	122
681	261	121
682	261	121
